Review_ID,Hotel_ID,Area_ID,Review_Title,Review_Text,NonEnglish,Review_Date,Date_Of_Stay,User_Rating,Trip_Type,SleepQulaity,Value,Rooms,LocationQuality,Cleanliness,Service,User_ID,User_Location,User_Profile,Contributions,Helpful_Votes,Location
101001694,89575,60745,"Hotel very nice.  Wine paring dinner, not so good","My son and daughter-in-law invited us to spend the a weekend with them in Boston and we jumped at the chance even though we had a late Friday night event and would have to drive up from NJ after 8PM.  We arrived at about 12:30AM to a quiet lobby.  When they staff saw us everything jumped into motion.  The valet was there in an instant.  The bell cap took our bags and we in our room in 10 mintues.  The staff was amazing.  The room was overlooking the harbor and since this was a wine/dinner package we got a nice room.  Evern with Logan in the background we could not hear any jet noise which was a pleasant surprise.  The barbor view was amazing as it always it whenever we get to Boston.  We ordered breakfast in the next morning, again fantastic.  We went down later in the day for Bloody Marys at the bar and they as well as the bartender were great.  Here is where it starts to go bad.  The Dinner which was supposed to be upscale but turned downward.  The service was not good even though everyone was friendly, at one point I had to ask a bus boy to remove our plates even though the station was right next to our table and we had finnished quite awhile ago.  The food was not hot when it arrived and the wine was not explained in any great detail or for that matter was not that good for a wine paring dinner package.  The table next to us must have known the manager since they at times had 4 people around a table of six and took a tour of the kitchen.  What I would say is stay at the hotel but eat in the North End.  It is much better and fuggettaboutit, better priced!",0,"March 21, 2011", March 2011,50,NA,50,40,50,50,50,50,UID_F6F950AEEAEAA27353177E27C6BA7522-SRC_101001694,New Jersey,https://www.tripadvisor.com/Profile/SteveandWendy53,15,20,"70 Rowes Wharf, Boston, MA 02110-3354"
102018749,89575,60745,Best of Boston! Outstanding.,"We stayed at the Harbor Hotel in March 2011 as a friend was having a wedding there.  The wedding ceremony was beautiful in the Atlantic Room, and the reception that followed was excellent.We only stayed on night in the hotel, but everything was great.  Bed turned down when we came back, bathroom large and roomy and clean.Normally, there is ""always' some minor detail that you can recommend the hotel change to make the stay there more enjoyable.  This time there was absolutely nothing to complain about,  Everything was in order, and it was clear the hotel staff worked to make sure there was nothing to complain about.  Everyone very friendly.I will say that the Harbor Hotel is not cheap.  However I cannot say whether there are any alternatives in downtown Boston which would offer the same level of service as we don't get to travel too much.  I loved the place, but it is expensive.I will say it is worth the price!",0,"March 29, 2011", March 2011,50,NA,50,50,50,50,50,50,UID_E81CD78BA998570B4AC6F688EEDC9A02-SRC_102018749,"Glen Ellyn, Illinois",https://www.tripadvisor.com/Profile/IngoSuzy,1,NA,"70 Rowes Wharf, Boston, MA 02110-3354"
102397363,89575,60745,Nice getaway weekend in a beautiful setting,Would stay here again; staff is excellent and hotel is gorgeous.,0,"April 1, 2011", January 2011,40,NA,30,40,40,40,40,40,UID_12852BA32EF33C0F929292F10D5EF2C1-SRC_102397363,"Charlotte, North Carolina",https://www.tripadvisor.com/Profile/BrendaWBrenda,2,1,"70 Rowes Wharf, Boston, MA 02110-3354"
10281867,89575,60745,Boston Harbor Hotel - Amazing!,"We recently spent a weekend at the Boston Harbor Hotel and booked our stay through the Disney Vacation Club. We had never been to Boston before and wanted to stay somewhere in a central location convenient to attractions. Well this hotel was perfect for that! We loved it and would definitely stay there again. The location was great since it was in a short  walking distance to Fanueil Hall, the Aquarium, the whale watching tours and ferry’s, Chinatown and the downtown financial district. The service there was amazing. The concierge was very helpful even before we got there. I had contacted them regarding a map of the area and they e-mailed me one right away. They were helpful and knowledgeable about the area when we asked them about certain activities once we got to Boston as well. The hotel staff was courteous and held the doors open for you when you left and arrived back to the hotel. That made us feel like VIP’s.  Coming back at night there was a staff member at the elevators asking to see our room key, which made us feel very safe that they had that kind of security. (Even though at no time did we feel threatened at all). The hotel store in the lobby has some cute Boston memorabilia, not much but what they did have was good quality. The rooms were really nice. They only had harbor view rooms when we made the reservation and the view was amazing. We would just stand at the window and stare out to the water each morning. From there you can see the ferry’s taking off and coming in, sailboats floating by and small boats bobbing in the water all around.  The room we stayed in was immaculate and nicely laid out. It had a flat screen TV and a DVD player. They had a fully stocked mini bar and snacks, but we didn’t take advantage of that. They also had other small details such as with the ice bucket came glasses and a wine opener. Our room also came with a nice plush robe and slipper for our use during our stay. A nice touch was the turn down service that we got each night around 9pm. They set up a small cloth at each side of the bed with the slippers tied with a ribbon around them. They also leave a small bottle of Fiji water on each nightstand with a glass and put the alarm clock radio on a soothing sounds station. The toiletries that are in the bathroom smell amazing and are for sale in the lobby store and the apples and mints left on the elevator hall table came in handy when running out to go sightseeing. Everything about the hotel felt luxurious. Although we didn’t eat at any of the restaurants we did have a drink at the bar by the lobby. It was small, but very nice and was a step away from the back doors that went right out onto the harbor. All in all it was a great hotel that I would highly recommend.",0,"October 24, 2007", October 2007,50,NA,NA,NA,NA,NA,NA,NA,UID_F937F1585C946DCDDE9D9B6C405721F9-SRC_10281867,"Cranford, New Jersey",https://www.tripadvisor.com/Profile/Luv2Travel6324,2,5,"70 Rowes Wharf, Boston, MA 02110-3354"
102904624,89575,60745,An amazing getaway,"My wife and I wanted a short getaway close to home and decided on the Boston Harbor Hotel.  I had booked a city view deluxe room, but when we checked in we got bumped up to a city view suite.  The room felt like a small apartment.  There was a sitting room with a 42"" plasma TV and comfortable couch.  The bedroom was on the corner of the hotel and had a stunning view of Boston.  One of the best nights sleep I've had in a while.  Room service was also top notch.  Not only was delivery always pleasant, but the quality of the food was as good as any upscale restaurant.  From top to bottom this hotel gets a big thumbs up.",0,"April 5, 2011", March 2011,50,NA,50,40,50,50,50,50,UID_131C59F5EE712D02E9CA2B1B5116215F-SRC_102904624,"Boston, Massachusetts",https://www.tripadvisor.com/Profile/mtf169,11,3,"70 Rowes Wharf, Boston, MA 02110-3354"
104039799,89575,60745,Loved the location & Staff BUT Barking dogs are permitted,"I loved the hotel for its location and room decor. The staff was considerate and helpful. However to my shock & amazement this fairly expensive hotel allows dogs. We were located in a room next to a dog that barked incessantly at dinner time and early morning, perhaps when the owners left the room. The Front desk manager confirmed that dogs are permitted and placed in rooms throughout the hotel. There are NO dog-free floors. So if you are allergic or a light sleeper you might be careful.I would have rated this hotel higher if they told me about the pet policy so I could get a room far away from barking dogs. As a result there was little or no value for the money.",0,"April 14, 2011", April 2011,20,NA,10,10,50,50,50,50,UID_ECA58AA8F7D2DF69EB1643B2B384F4F9-SRC_104039799,"Princeton, New Jersey",https://www.tripadvisor.com/Profile/bustravel11950,1,1,"70 Rowes Wharf, Boston, MA 02110-3354"
104618532,89575,60745,Beautiful Hotel in a Beautiful Setting,Came here on business but still had time to enjoy the amazing spa and indoor pool. The food was great in the onsite restaurant and has a lovely bar too. Saw 2 weddings - one on the yacht which I was able to see from my room. The place is central with easy access to the shops on Fenuille Hall and a great ice-cream shop in the harbour.,0,"April 19, 2011", May 2010,50,NA,50,40,50,50,50,40,UID_93961031B78C6BB8B3F1DD72A45B9FF1-SRC_104618532,"London, United Kingdom",https://www.tripadvisor.com/Profile/WorldFlyer01,15,5,"70 Rowes Wharf, Boston, MA 02110-3354"
104982590,89575,60745,"Pricey, but worth it","The hotel is well located, staff helpful and friendly and the room was lovely.  We had a deluxe city view room and had breakfast each morning of our stay with a gorgeous view of the bay.   The housekeeping staff seemed very conscientious.  We always appreciate it when the overall service exceeds expectations.",0,"April 21, 2011", October 2010,50,NA,50,40,50,50,50,50,UID_7AB78A93973B5BF04DF39658B103F11A-SRC_104982590,"California City, California",https://www.tripadvisor.com/Profile/artistpalette,53,23,"70 Rowes Wharf, Boston, MA 02110-3354"
10540960,89575,60745,Convenient to Logan Airport and Faneuil Hall,"This is a very nice property.  I stayed here for a conference and was given a room overlooking the water (I belong to the frequent guest club that the hotel belongs to) and the room was clean, very comforatable and nicely decorated.  I appreciated the long hallway from the door to the sleeping area since it blocked some noise.  I must say though that the plumbing from adjoining or nearby rooms was a little on the loud side.  The staff I interacted with were very professional, helpful and pleasant.  It is convenient to Faneuil Hall, but perhaps not readily apparent becasue of the various streets to be crossed to get there - it isn't particularly scenic out front of the hotel.  But, Boston is small and a lot is walkable, or reachable in short order by cab.  I would stay at this property again.",0,"November 2, 2007", October 2007,40,NA,NA,40,40,40,40,40,UID_F7BC454992C1027D7D75EB76A856C53A-SRC_10540960,"Falls Church, Virginia",https://www.tripadvisor.com/Profile/vlfrance,55,65,"70 Rowes Wharf, Boston, MA 02110-3354"
106298435,89575,60745,Best of the best in Boston,Exceptional hotel with exceptional service. Every staff member was extremely helpful and attentive. The concierge staff gave excellent recommendations for restaurants. Housekeeping was prompt and included nightly turndown service. Room service was also prompt and delicious.The valet and  doormen were exceptional.,0,"April 30, 2011", April 2011,50,NA,50,50,50,50,50,50,UID_F9F902CED03E8C359C9BD1C6F0E40D76-SRC_106298435,Alaska,https://www.tripadvisor.com/Profile/chalaska,1,NA,"70 Rowes Wharf, Boston, MA 02110-3354"
